fips,census_region,diabetes_prev,physical_inactivity_prev,pct_white,poverty_rate,pct_black,food_insecurity_rate,smoking_prev,median_income,snap_rate,obesity_prev,pct_age65plus,pct_hispanic,hypertension_prev,pct_college_edu,food_desert_index,unemployment_rate,fastfood_density,feci,pct_agri_sector,pct_mfg_sector,pct_foodsvc_sector,grocery_density,rucc_code
46007,Midwest,17.3,0.6149732620320856,0.3526495196777192,0.6913809082483782,0.0020874405659283,0.1391304347826086,0.7152317880794701,0.1466130576297147,0.1683937733952013,0.7099447513812154,0.189668318719024,0.0477854280135649,0.5255474452554745,0.210540289393336,0.52813,0.3173633440514469,0.3618973594225798,0.3621533483404378,0.3374509803921569,0.0,0.1568562972706346,0.593482394768556,1.0
39127,Midwest,11.6,0.5347593582887701,0.9594050201425472,0.296339202965709,0.002667285167575,0.4695652173913044,0.4271523178807946,0.3010683515221137,0.4231133875205285,0.6049723756906078,0.2399923751429661,0.008323913266879,0.564476885644769,0.1412451878401699,0.16842,0.1282958199356913,0.3540991320404617,0.3193237686879225,0.0241176470588235,0.3362028850628199,0.1959881617888852,0.6052140919680983,0.0
02130,West,8.6,0.2620320855614972,0.6232827187274042,0.177710843373494,0.0049866635741621,0.2608695652173912,0.314569536423841,0.4880719892781926,0.3526534803440116,0.580110497237569,0.2281738467403736,0.054054054054054,0.4257907542579075,0.2996150272135935,0.2108,0.1118971061093247,0.4013521707860177,0.4220325401090486,0.0980392156862745,0.1002791996277338,0.1887536994409733,0.6139525202433961,0.75
29031,Midwest,10.2,0.4358288770053475,0.8492924284681334,0.2713160333642261,0.0938188565464455,0.4608695652173912,0.2814569536423841,0.3330423128470228,0.3286028418265593,0.4972375690607735,0.2274113610369805,0.0292878429760559,0.440389294403893,0.391212000530997,0.1545,0.0935691318327974,0.4202571659754901,0.3881414460055147,0.0309803921568627,0.2219637040483946,0.2453140414337389,0.5825385743662815,0.25
51530,South,11.9,0.4197860962566845,0.8558000206590228,0.4297961075069509,0.0184390583323669,0.226086956521739,0.3112582781456954,0.2223473099751101,0.2576754492143099,0.5607734806629834,0.2483797178802897,0.0097626143253519,0.4598540145985403,0.2698791981946104,1.0,0.0717041800643086,0.3918843757566659,0.350606854351096,0.0217647058823529,0.1805490926012098,0.2528773429792831,0.5768494924163552,0.625
36045,Northeast,9.7,0.355614973262032,0.827497159384361,0.2564874884151993,0.0579844601646758,0.4260869565217392,0.2483443708609271,0.3029140340800307,0.5266889428425269,0.5828729281767955,0.1776591688905833,0.0750179837632309,0.3284671532846716,0.282357626443648,0.32432,0.205144694533762,0.3867166610474497,0.3483099182889176,0.030392156862745,0.173801768264309,0.2321604735284445,0.6073784065748002,0.25
48475,South,13.5,0.5828877005347594,0.6336122301415142,0.2940222428174236,0.073524295488809,0.8260869565217391,0.2682119205298013,0.354539536664752,0.3625344519475872,0.5773480662983426,0.1620282119710255,0.569520090432638,0.4257907542579075,0.0834992698791981,0.0,0.130225080385852,0.3710403793084327,0.3496588489153341,0.2864705882352941,0.2208003722661703,0.2420256494574153,0.6016027466663567,0.625
27039,Midwest,8.3,0.2807486631016043,0.9098233653548186,0.0852641334569045,0.0113649541922764,0.1478260869565216,0.2350993377483443,0.5170821367030443,0.1644901280775906,0.5110497237569062,0.1908120472741136,0.0531291748021786,0.2992700729927008,0.3365193150139387,0.0,0.0980707395498392,0.3457910808721031,0.3184373853391284,0.0894117647058823,0.3040949278734295,0.188424860243341,0.5834857000785602,0.25
48097,South,10.8,0.4171122994652406,0.7819440140481354,0.281047265987025,0.0385016815493447,0.8260869565217391,0.2682119205298013,0.3603063373540111,0.3625344519475872,0.5359116022099447,0.2529546321006481,0.210975233788922,0.4890510948905109,0.2547457852117351,0.2617299999999999,0.1382636655948552,0.3960448297630978,0.3272810785531849,0.1225490196078431,0.3182875756165658,0.216047352844459,0.5739540102768816,0.625
47167,South,12.3,0.4251336898395722,0.7382501807664497,0.2252085264133457,0.2159341296532529,0.3739130434782608,0.4172185430463575,0.3546697300402067,0.3443103751275862,0.7569060773480663,0.1898589401448723,0.0306237796732093,0.6034063260340634,0.1869109252621797,0.13914,0.1774919614147909,0.3513607684472891,0.2665945665103593,0.022156862745098,0.2840856212191717,0.2709634988490628,0.5740091003321791,0.0
46091,Midwest,9.5,0.3368983957219251,0.8565230864580105,0.1378591288229842,0.0028992230082337,0.1391304347826086,0.2913907284768211,0.3605207735018189,0.1683937733952013,0.5303867403314917,0.329775066717499,0.062789024766211,0.4549878345498784,0.2396123722288597,0.0,0.0347266881028938,0.3662773447219857,0.3552484146610823,0.2962745098039215,0.4034434620753839,0.1427162117724432,0.5872322526037999,1.0
48021,South,12.0,0.5133689839572193,0.5514926143993388,0.239805375347544,0.0665661602690479,0.8260869565217391,0.2516556291390728,0.4388665517901589,0.3625344519475872,0.649171270718232,0.1894776972931757,0.4519576610831363,0.4476885644768858,0.2515598035311297,0.25014,0.1495176848874598,0.3642869686906796,0.2771379807074383,0.0478431372549019,0.1777570963238715,0.3600789214074317,0.5720400123069642,0.0
55059,Midwest,10.0,0.4064171122994653,0.759942154736081,0.198563484708063,0.0723646062855154,0.2869565217391303,0.2682119205298013,0.4134558682749377,0.3780679618588077,0.6464088397790055,0.1898589401448723,0.1523995478368101,0.3965936739659368,0.3499269879198195,0.31335,0.1553054662379421,0.3794300106548915,0.3295967755697565,0.024313725490196,0.4388087482550023,0.273923051627754,0.5880301136265845,0.0
55027,Midwest,9.2,0.4358288770053475,0.8962917054023343,0.1332252085264133,0.0309637017279369,0.2869565217391303,0.2814569536423841,0.3719471568064331,0.3780679618588077,0.7209944751381214,0.2504765535646207,0.0658719556057959,0.3917274939172749,0.2060268153458118,0.0,0.1257234726688103,0.353893953625344,0.2754796651891007,0.0819607843137254,0.624709167054444,0.1640907596185465,0.5799877414910214,0.375
26035,Midwest,11.1,0.4893048128342245,0.9417415556244187,0.4439295644114921,0.0070741041400904,0.4869565217391304,0.4337748344370861,0.1867126172697683,0.4794960265967483,0.6574585635359116,0.369996187571483,0.0226081594902887,0.661800486618005,0.1140315943183327,0.0,0.2739549839228296,0.3783856591222808,0.3328968127680785,0.0411764705882352,0.3248022335970219,0.1959881617888852,0.6008859381316504,0.625
05129,South,12.5,0.7085561497326203,0.8783183555417827,0.5194624652455978,0.0009277513626348,1.0,0.4801324503311257,0.1267700555236454,0.1699395688644884,0.6408839779005524,0.3888677087304613,0.0225053951289692,0.7785888077858882,0.1233240408867649,0.27151,0.1697749196141479,0.3639757888467358,0.3538519502701814,0.136078431372549,0.3569101907864123,0.1312068398553107,0.5883094918044944,1.0
37073,South,11.7,0.4572192513368984,0.6226629480425575,0.229610750695088,0.3615910935869187,0.3043478260869565,0.3377483443708609,0.2771357457399962,0.4885483168579528,0.6160220994475138,0.3179565383149066,0.0215805158770938,0.664233576642336,0.084826762246117,0.38403,0.2884244372990354,0.3751383517458854,0.3518255789553492,0.0670588235294117,0.3161935784085621,0.3298257152252548,0.6129734518359758,0.0
54073,South,12.2,0.5588235294117647,0.9451502943910752,0.1334569045412419,0.0053345703351501,0.5478260869565216,0.4403973509933774,0.2727398047099368,0.7167451219996632,0.7541436464088398,0.2518109035455586,0.0317541876477237,0.637469586374696,0.1359352183724944,0.0,0.2109324758842443,0.3806787639116792,0.3528111828815915,0.0658823529411764,0.396696137738483,0.3137125945412693,0.6334658473811214,0.625
37067,South,11.0,0.3502673796791443,0.5681231277760561,0.2919369786839667,0.2956047779195175,0.3043478260869565,0.2317880794701986,0.307225732337737,0.4885483168579528,0.6767955801104972,0.2152115897826915,0.1502414962491008,0.4720194647201948,0.4310367715385637,0.37626,0.1713826366559485,0.3903322525442873,0.3512771246630006,0.0084313725490196,0.29502093997208,0.3469253535021375,0.6023233676362876,0.125
